"","Contaminant","Min","Max","Median","Mean","DF","N_tested"
"61","5PCB100",0,0.64,0,0.00794,2.04,98
"62","5PCB103",0,0.088,0,0.000898,1.02,98
"63","5PCB104",0,0,0,0,0,98
"64","5PCB105+127",0,54.8,0.124,1.16,71.4,98
"65","5PCB106+118",0,175,0.43,3.5,92.9,98
"66","5PCB107+109",0,9.89,0,0.157,25.5,98
"67","5PCB110",0,2.91,0,0.0558,11.2,98
"68","5PCB111+117",0,9.87,0,0.161,23.5,98
"69","5PCB112",0,0,0,0,0,98
"70","5PCB113",0,0.122,0,0.00216,2.04,98
"71","5PCB114",0,3.7,0,0.0679,16.3,98
"72","5PCB119",0,2.18,0,0.0306,7.14,98
"73","5PCB122",0,0,0,0,0,98
"74","5PCB123",0,2.98,0,0.0433,11.2,98
"75","5PCB124",0,0.257,0,0.00427,2.04,98
"76","5PCB125",0,0,0,0,0,98
"77","5PCB126",0,4.11,0,0.0803,24.5,98
"78","5PCB82",0,0,0,0,0,98
"79","5PCB83+108",0,0.065,0,0.000663,1.02,98
"80","5PCB84",0,0.07,0,0.00141,2.04,98
"81","5PCB85+120",0,10.9,0,0.168,18.4,98
"82","5PCB86+97",0,0.349,0,0.00567,2.04,98
"83","5PCB87+115+116",0,4.25,0,0.063,7.14,98
"84","5PCB88+121",0,0.139,0,0.00142,1.02,98
"85","5PCB89+90+101",0,11.9,0,0.213,32.7,98
"86","5PCB91",0,0.568,0,0.00905,4.08,98
"87","5PCB92",0,5.88,0,0.0961,16.3,98
"88","5PCB93+95",0,4.09,0,0.0743,13.3,98
"89","5PCB94",0,0.153,0,0.00156,1.02,98
"90","5PCB96",0,0,0,0,0,98
"91","5PCB98+102",0,0.045,0,0.000459,1.02,98
"92","5PCB99",0,96.3,0.15,1.58,75.5,98
"93","6PCB128",0,28.4,0.0735,0.595,60.2,98
"94","6PCB129",0,0.753,0,0.0105,4.08,98
"95","6PCB130",0,3.55,0,0.0619,17.3,98
"96","6PCB131+142",0,0,0,0,0,98
"97","6PCB132+168",0,1.06,0,0.0217,14.3,98
"98","6PCB133",0,4.47,0,0.0886,24.5,98
"99","6PCB134+143",0,0,0,0,0,98
"100","6PCB135+144",0,1.23,0,0.0247,10.2,98
"101","6PCB136",0,0.127,0,0.00262,3.06,98
"102","6PCB137",0,3.9,0,0.0623,16.3,98
"103","6PCB138+163+164",0,203,0.484,4.25,99,98
"104","6PCB139+149",0,11,0,0.262,38.8,98
"105","6PCB140",0,0.04,0,0.000408,1.02,98
"106","6PCB141",0,1.86,0,0.0333,8.16,98
"107","6PCB145",0,0,0,0,0,98
"108","6PCB146",0,57.7,0.165,1.27,82.7,98
"109","6PCB147",0,3.57,0,0.0531,12.2,98
"110","6PCB148",0,0.163,0,0.0025,3.06,98
"111","6PCB150",0,0,0,0,0,98
"112","6PCB151",0,3.62,0,0.0662,13.3,98
"113","6PCB152",0,0,0,0,0,98
"114","6PCB153",0.069,380,1.05,8.34,100,98
"115","6PCB154",0,2.32,0,0.0373,12.2,98
"116","6PCB155",0,0.63,0,0.00994,6.12,98
"117","6PCB156",0,19.7,0.059,0.474,62.2,98
"118","6PCB157",0,5.63,0,0.126,34.7,98
"119","6PCB158+160",0,17.9,0,0.326,42.9,98
"120","6PCB159",0,4.13,0,0.104,33.7,98
"121","6PCB161",0,0,0,0,0,98
"122","6PCB162",0,2.72,0,0.0499,16.3,98
"123","6PCB165",0,0.253,0,0.00296,2.04,98
"124","6PCB166",0,1.05,0,0.0177,8.16,98
"125","6PCB167",0,12.8,0.0325,0.276,53.1,98
"126","6PCB169",0,0.111,0,0.00153,2.04,98
"127","7PCB170+190",0,90.8,0.218,2.1,88.8,98
"128","7PCB171",0,12.9,0,0.248,41.8,98
"129","7PCB172+192",0,9.69,0,0.222,44.9,98
"130","7PCB173",0,0.044,0,0.000449,1.02,98
"131","7PCB174+181",0,2.31,0,0.0561,21.4,98
"132","7PCB175",0,1.74,0,0.0288,12.2,98
"133","7PCB176",0,0.133,0,0.00241,3.06,98
"134","7PCB177",0,13.1,0,0.273,46.9,98
"135","7PCB178",0,9.17,0,0.203,46.9,98
"136","7PCB179",0,0.219,0,0.00564,6.12,98
"137","7PCB180",0,259,0.511,5.14,95.9,98
"138","7PCB182+187",0,109,0.342,2.91,94.9,98
"139","7PCB183",0,51.9,0.11,1.05,72.4,98
"140","7PCB184",0,0.143,0,0.00192,2.04,98
"141","7PCB185",0,0.306,0,0.00524,4.08,98
"142","7PCB186",0,0,0,0,0,98
"143","7PCB188",0,0.125,0,0.00244,3.06,98
"144","7PCB189",0,3.28,0,0.0852,38.8,98
"145","7PCB191",0,3.59,0,0.0589,18.4,98
"146","7PCB193",0,11.1,0.0385,0.313,51,98
"147","8PCB194",0,64.2,0.287,1.72,81.6,98
"148","8PCB195",0,18.2,0,0.481,49,98
"149","8PCB196+203",0,75.6,0.3,1.85,81.6,98
"150","8PCB197",0,2.82,0,0.0574,19.4,98
"151","8PCB198",0,1.38,0,0.0254,9.18,98
"152","8PCB199",0,61.1,0.296,1.7,81.6,98
"153","8PCB200",0,0.171,0,0.00174,1.02,98
"154","8PCB201",0,3.22,0,0.0629,23.5,98
"155","8PCB202",0,8.43,0,0.182,39.8,98
"156","8PCB204",0,0,0,0,0,98
"157","8PCB205",0,2.33,0,0.0596,23.5,98
"158","9PCB206",0,29.5,0.272,1.02,71.4,98
"159","9PCB207",0,4.27,0,0.113,28.6,98
"160","9PCB208",0,11.4,0.0725,0.339,52,98
"161","Aroclor 1016",0,0,0,0,0,98
"162","Aroclor 1221",0,0,0,0,0,98
"163","Aroclor 1232",0,0,0,0,0,98
"164","Aroclor 1242",0,158,0,2.61,35.7,98
"165","Aroclor 1248",0,0,0,0,0,98
"166","Aroclor 1254",0,1010,1.35,16.4,57.1,98
"167","Aroclor 1260",0,2410,5.19,49.8,96.9,98
"168","DecaCB",0,16,0.224,0.619,75.5,98
"169","TPCBs",0.153,2260,5.36,48.1,100,98
"170","Total DiCB",0,0.545,0,0.0136,6.12,98
"171","Total HeptaCB",0,579,1.35,12.7,98,98
"172","Total HexaCB",0.115,772,1.74,16.5,100,98
"173","Total MonoCB",0,0,0,0,0,98
"174","Total NonaCB",0,45.2,0.31,1.46,67.3,98
"175","Total OctaCB",0,237,0.796,6.01,78.6,98
"176","Total PentaCB",0,397,0.578,7.35,90.8,98
"177","Total TetraCB",0,174,0.095,2.75,60.2,98
"178","Total TriCB",0,42.6,0,0.722,44.9,98
