TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"4,4'-DDD",0.106,Y,K J,ng/g,0.549,0.0262,WG87204,NA,72-54-8,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"2,4'-DDT",NA,N,U,ng/g,0.456,0.0268,WG87204,NA,789-02-6,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231116,2142,Sample,"4,4'-DDT",0.396,Y,J,ng/g,0.457,0.0301,WG87204,NA,50-29-3,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231106,0800,Sample,% Moisture,69.1,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,19-Oct-21,3,NA
NA,L40006-4  (A),NA,NA,NA,NA,20231106,0800,Sample,% Lipid,7,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,19-Oct-21,3,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,Hexachlorobenzene,0.086,Y,J,ng/g,0.447,0.0476,WG87204,NA,118-74-1,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"HCH, alpha",NA,N,U,ng/g,0.894,0.096,WG87204,NA,319-84-6,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"HCH, beta",NA,N,U,ng/g,0.893,0.17,WG87204,NA,319-85-7,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"HCH, gamma",NA,N,U,ng/g,0.893,0.206,WG87204,NA,58-89-9,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,Heptachlor,NA,N,U,ng/g,0.446,0.0813,WG87204,NA,76-44-8,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,Aldrin,NA,N,U,ng/g,1.16,0.112,WG87204,NA,309-00-2,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.894,0.05,WG87204,NA,5103-74-2,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.897,0.0536,WG87204,NA,5103-71-9,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"Chlordane, oxy-",NA,N,U,ng/g,0.905,0.181,WG87204,NA,27304-13-8,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"Nonachlor, trans-",NA,N,U,ng/g,0.895,0.0339,WG87204,NA,39765-80-5,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"Nonachlor, cis-",NA,N,U,ng/g,0.893,0.0352,WG87204,NA,5103-73-1,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,Mirex,NA,N,U,ng/g,0.452,0.0815,WG87204,NA,2385-85-5,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"2,4'-DDE",NA,N,U,ng/g,0.451,0.0134,WG87204,NA,3424-82-6,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"4,4'-DDE",1.01,Y,NA,ng/g,0.548,0.018,WG87204,NA,72-55-9,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"2,4'-DDD",NA,N,U,ng/g,0.445,0.0205,WG87204,NA,53-19-0,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"4,4'-DDD",NA,N,U,ng/g,0.542,0.021,WG87204,NA,72-54-8,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"2,4'-DDT",NA,N,U,ng/g,0.451,0.0215,WG87204,NA,789-02-6,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231116,2331,Sample,"4,4'-DDT",NA,N,U,ng/g,0.451,0.0241,WG87204,NA,50-29-3,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231106,0800,Sample,% Moisture,75.2,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,21-Oct-21,4,NA
NA,L40006-5,NA,NA,NA,NA,20231106,0800,Sample,% Lipid,3.98,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,21-Oct-21,4,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,Hexachlorobenzene,0.096,Y,J,ng/g,0.437,0.0438,WG87204,NA,118-74-1,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"HCH, alpha",NA,N,U,ng/g,0.874,0.0695,WG87204,NA,319-84-6,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"HCH, beta",NA,N,U,ng/g,0.872,0.148,WG87204,NA,319-85-7,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"HCH, gamma",NA,N,U,ng/g,0.872,0.205,WG87204,NA,58-89-9,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,Heptachlor,NA,N,U,ng/g,0.436,0.163,WG87204,NA,76-44-8,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,Aldrin,NA,N,U,ng/g,1.14,0.0757,WG87204,NA,309-00-2,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.874,0.0694,WG87204,NA,5103-74-2,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.876,0.0745,WG87204,NA,5103-71-9,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"Chlordane, oxy-",NA,N,U,ng/g,0.884,0.188,WG87204,NA,27304-13-8,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"Nonachlor, trans-",0.044,Y,K J,ng/g,0.875,0.0275,WG87204,NA,39765-80-5,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"Nonachlor, cis-",NA,N,U,ng/g,0.873,0.0284,WG87204,NA,5103-73-1,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,Mirex,NA,N,U,ng/g,0.442,0.0665,WG87204,NA,2385-85-5,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"2,4'-DDE",NA,N,U,ng/g,0.441,0.0178,WG87204,NA,3424-82-6,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"4,4'-DDE",1.5,Y,NA,ng/g,0.535,0.024,WG87204,NA,72-55-9,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"2,4'-DDD",NA,N,U,ng/g,0.435,0.0253,WG87204,NA,53-19-0,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"4,4'-DDD",0.121,Y,J,ng/g,0.53,0.0217,WG87204,NA,72-54-8,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"2,4'-DDT",NA,N,U,ng/g,0.44,0.0223,WG87204,NA,789-02-6,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231117,0026,Sample,"4,4'-DDT",NA,N,U,ng/g,0.441,0.025,WG87204,NA,50-29-3,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231106,0800,Sample,% Moisture,76.1,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,16-Oct-21,6,NA
NA,L40006-6,NA,NA,NA,NA,20231106,0800,Sample,% Lipid,3.84,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,16-Oct-21,6,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,Hexachlorobenzene,NA,N,U,ng/g,0.452,0.0617,WG87204,NA,118-74-1,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"HCH, alpha",NA,N,U,ng/g,0.904,0.104,WG87204,NA,319-84-6,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"HCH, beta",NA,N,U,ng/g,0.903,0.231,WG87204,NA,319-85-7,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"HCH, gamma",0.199,Y,K B J,ng/g,0.903,0.135,WG87204,NA,58-89-9,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,Heptachlor,NA,N,U,ng/g,0.452,0.0961,WG87204,NA,76-44-8,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,Aldrin,NA,N,U,ng/g,1.18,0.113,WG87204,NA,309-00-2,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.904,0.0412,WG87204,NA,5103-74-2,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.907,0.0443,WG87204,NA,5103-71-9,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"Chlordane, oxy-",NA,N,U,ng/g,0.915,0.208,WG87204,NA,27304-13-8,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"Nonachlor, trans-",NA,N,U,ng/g,0.905,0.0297,WG87204,NA,39765-80-5,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"Nonachlor, cis-",NA,N,U,ng/g,0.904,0.0308,WG87204,NA,5103-73-1,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,Mirex,0.078,Y,J,ng/g,0.458,0.0406,WG87204,NA,2385-85-5,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"2,4'-DDE",NA,N,U,ng/g,0.457,0.0173,WG87204,NA,3424-82-6,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"4,4'-DDE",1.22,Y,NA,ng/g,0.554,0.0233,WG87204,NA,72-55-9,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"2,4'-DDD",NA,N,U,ng/g,0.451,0.0258,WG87204,NA,53-19-0,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"4,4'-DDD",NA,N,U,ng/g,0.548,0.0284,WG87204,NA,72-54-8,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"2,4'-DDT",NA,N,U,ng/g,0.456,0.0291,WG87204,NA,789-02-6,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231117,0121,Sample,"4,4'-DDT",NA,N,U,ng/g,0.457,0.0326,WG87204,NA,50-29-3,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231106,0800,Sample,% Moisture,74.1,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,19-Oct-21,7,NA
NA,L40006-7,NA,NA,NA,NA,20231106,0800,Sample,% Lipid,4.13,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,19-Oct-21,7,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,Hexachlorobenzene,NA,N,U,ng/g,0.545,0.0605,WG87204,NA,118-74-1,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"HCH, alpha",NA,N,U,ng/g,1.09,0.071,WG87204,NA,319-84-6,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"HCH, beta",NA,N,U,ng/g,1.09,0.127,WG87204,NA,319-85-7,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"HCH, gamma",0.241,Y,K B J,ng/g,1.09,0.101,WG87204,NA,58-89-9,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,Heptachlor,NA,N,U,ng/g,0.544,0.0805,WG87204,NA,76-44-8,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,Aldrin,0.105,Y,K J,ng/g,1.42,0.0932,WG87204,NA,309-00-2,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,1.09,0.0665,WG87204,NA,5103-74-2,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,1.09,0.0714,WG87204,NA,5103-71-9,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"Chlordane, oxy-",NA,N,U,ng/g,1.1,0.169,WG87204,NA,27304-13-8,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"Nonachlor, trans-",NA,N,U,ng/g,1.09,0.0291,WG87204,NA,39765-80-5,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"Nonachlor, cis-",NA,N,U,ng/g,1.09,0.0301,WG87204,NA,5103-73-1,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,Mirex,NA,N,U,ng/g,0.552,0.0268,WG87204,NA,2385-85-5,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"2,4'-DDE",NA,N,U,ng/g,0.551,0.0133,WG87204,NA,3424-82-6,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"4,4'-DDE",0.623,Y,J,ng/g,0.668,0.018,WG87204,NA,72-55-9,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"2,4'-DDD",NA,N,U,ng/g,0.543,0.0154,WG87204,NA,53-19-0,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"4,4'-DDD",NA,N,U,ng/g,0.661,0.0263,WG87204,NA,72-54-8,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"2,4'-DDT",NA,N,U,ng/g,0.55,0.027,WG87204,NA,789-02-6,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231117,0520,Sample,"4,4'-DDT",NA,N,U,ng/g,0.551,0.0302,WG87204,NA,50-29-3,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231106,0800,Sample,% Moisture,66,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,21-Oct-21,8,NA
NA,L40006-8,NA,NA,NA,NA,20231106,0800,Sample,% Lipid,9.19,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,21-Oct-21,8,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,Hexachlorobenzene,0.126,Y,J,ng/g,0.451,0.058,WG87204,NA,118-74-1,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"HCH, alpha",NA,N,U,ng/g,0.903,0.0578,WG87204,NA,319-84-6,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"HCH, beta",NA,N,U,ng/g,0.901,0.147,WG87204,NA,319-85-7,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"HCH, gamma",NA,N,U,ng/g,0.901,0.164,WG87204,NA,58-89-9,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,Heptachlor,NA,N,U,ng/g,0.451,0.0917,WG87204,NA,76-44-8,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,Aldrin,NA,N,U,ng/g,1.17,0.104,WG87204,NA,309-00-2,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.903,0.0835,WG87204,NA,5103-74-2,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.905,0.0896,WG87204,NA,5103-71-9,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"Chlordane, oxy-",NA,N,U,ng/g,0.914,0.236,WG87204,NA,27304-13-8,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"Nonachlor, trans-",0.218,Y,J,ng/g,0.904,0.0253,WG87204,NA,39765-80-5,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"Nonachlor, cis-",NA,N,U,ng/g,0.902,0.0262,WG87204,NA,5103-73-1,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,Mirex,0.088,Y,J,ng/g,0.457,0.0835,WG87204,NA,2385-85-5,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"2,4'-DDE",NA,N,U,ng/g,0.456,0.014,WG87204,NA,3424-82-6,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"4,4'-DDE",67.1,Y,NA,ng/g,0.553,0.0188,WG87204,NA,72-55-9,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"2,4'-DDD",NA,N,U,ng/g,0.45,0.0171,WG87204,NA,53-19-0,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"4,4'-DDD",0.077,Y,J,ng/g,0.547,0.0221,WG87204,NA,72-54-8,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"2,4'-DDT",NA,N,U,ng/g,0.455,0.0226,WG87204,NA,789-02-6,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231117,0615,Sample,"4,4'-DDT",0.401,Y,J,ng/g,0.456,0.0253,WG87204,NA,50-29-3,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231106,0800,Sample,% Moisture,63.8,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,19-Oct-21,9,NA
NA,L40006-9,NA,NA,NA,NA,20231106,0800,Sample,% Lipid,9.41,Y,NA,%,NA,NA,WG87204,NA,NA,NA,NA,19-Oct-21,9,NA
NA,L40006-10,NA,NA,NA,NA,20231117,0713,Sample,Hexachlorobenzene,0.921,Y,NA,ng/g,0.447,0.0301,WG87204,NA,118-74-1,NA,NA,25-Dec-21,10,NA
NA,L40006-10,NA,NA,NA,NA,20231117,0713,Sample,"HCH, alpha",NA,N,U,ng/g,0.894,0.0799,WG87204,NA,319-84-6,NA,NA,25-Dec-21,10,NA
NA,L40006-10,NA,NA,NA,NA,20231117,0713,Sample,"HCH, beta",NA,N,U,ng/g,0.893,0.0988,WG87204,NA,319-85-7,NA,NA,25-Dec-21,10,NA
